gene,GSM001,GSM002,GSM003,GSM004
ILMN_156,9.514,6.7265,8.3273,7.7277
ILMN_157,9.7422,7.4084,6.4091,9.0648
ILMN_158,10.8098,7.3604,10.7399,8.5244
ILMN_159,6.9345,11.0503,6.3627,10.0281
ILMN_160,7.0036,8.9004,5.5317,6.3248
ILMN_161,10.1301,8.3762,8.0766,7.1204
ILMN_162,8.893,5.2055,5.7601,7.6844
ILMN_163,6.3314,6.5988,7.857,7.725
ILMN_164,7.555,11.3306,10.0222,10.4595
ILMN_165,7.9437,6.9906,5.0922,7.3037
ILMN_166,3.8281,6.8325,9.5285,11.2431
ILMN_167,9.9312,6.2768,8.9852,6.4217
ILMN_168,9.6459,7.7773,9.7164,13.1458
ILMN_169,9.845,12.6649,8.3549,7.3406
ILMN_170,10.6674,11.4487,6.89,8.1533
ILMN_171,5.1309,7.5999,9.7767,7.8272
ILMN_172,6.8616,5.1855,8.7365,9.5951
ILMN_173,9.193,8.5106,5.4519,11.5236
ILMN_174,7.8869,7.7104,9.4659,3.6736
ILMN_175,7.8711,7.7264,8.7446,10.6943
ILMN_176,8.9444,4.3358,7.3218,8.4111
ILMN_177,8.2943,5.4375,4.6725,9.098
ILMN_178,8.6871,7.9574,4.5492,11.5481
ILMN_179,2.1995,7.2718,12.1823,7.6851
ILMN_180,8.4641,5.6417,10.7173,5.4148
ILMN_181,8.5088,8.2698,5.8986,9.774
ILMN_182,5.1681,6.633,7.9426,7.175
ILMN_183,8.9356,9.8481,7.4125,6.9171
ILMN_184,6.966,7.2688,9.6193,7.5648
ILMN_185,8.8153,7.8177,6.3111,9.7274
ILMN_186,5.9239,8.0124,10.974,5.8138
ILMN_187,7.8896,4.8304,6.9812,5.0108
ILMN_188,7.2768,6.9234,8.2639,11.1686
ILMN_189,8.566,9.3163,7.8986,7.511
ILMN_190,6.332,4.3983,8.1372,11.2582
ILMN_191,8.9526,6.932,11.2988,7.1348
ILMN_192,6.7623,5.5746,6.0759,7.5073
ILMN_193,11.998,7.5876,5.937,6.7892
ILMN_194,7.5543,4.5765,8.2533,9.4013
ILMN_195,8.6416,9.2015,5.4209,4.6028
ILMN_196,10.5711,10.1887,4.9195,8.4128
ILMN_197,8.0511,9.0898,8.4172,6.9957
ILMN_198,8.3905,8.3141,7.9027,4.2952
ILMN_199,2.0096,6.4196,4.7305,8.5051
ILMN_200,9.4322,8.5262,7.2609,8.141
ILMN_201,10.3347,6.5424,9.8446,9.4152
ILMN_202,8.5234,10.9039,6.5644,9.885
ILMN_203,6.1421,6.4659,5.8806,8.8917
ILMN_204,6.1205,8.1043,5.7266,10.1325
ILMN_205,11.6723,8.4522,11.2867,9.1213
ILMN_206,12.3386,8.1994,4.8592,10.9812
ILMN_207,7.7473,5.9283,6.6875,4.7473
ILMN_208,7.6646,5.8575,10.9684,9.329
ILMN_209,4.6792,4.9813,6.866,4.1499
ILMN_210,7.7804,7.9131,6.4544,6.907
ILMN_211,8.9977,10.8434,10.9913,8.0686
ILMN_212,9.7117,6.5233,8.8239,6.0807
ILMN_213,9.4591,5.5232,6.0698,7.9833
ILMN_214,9.114,5.1237,6.9267,8.2703
ILMN_215,8.4581,6.3224,8.1938,7.4655
ILMN_216,10.8077,9.1138,5.3518,3.5969
ILMN_217,8.1998,10.3642,8.3475,9.7641
ILMN_218,7.0307,5.2722,9.4972,8.1979
ILMN_219,9.3674,5.2369,8.3631,6.749
ILMN_220,9.6132,6.8386,6.7852,6.8286
ILMN_221,10.5274,8.0577,6.48,5.9548
ILMN_222,5.9118,10.9253,4.3705,6.2993
ILMN_223,9.2758,10.357,7.7034,9.571
ILMN_224,9.5192,9.9724,8.0928,11.3099
ILMN_225,8.4323,11.0964,5.8344,9.9212
ILMN_226,5.5299,5.0488,9.051,6.4005
ILMN_227,8.954,5.9215,11.2808,8.0908
ILMN_228,5.8115,8.4313,9.8482,6.5462
ILMN_229,9.1235,12.1867,9.831,8.0785
ILMN_230,6.9609,9.2583,5.0712,2.027
ILMN_231,6.7732,5.9431,11.5997,8.3918
ILMN_232,6.1432,5.7896,9.1163,6.4576
ILMN_233,6.9554,7.9393,8.3007,8.3211
ILMN_234,8.3588,10.7357,11.5374,4.8302
ILMN_235,13.2926,8.3983,10.6297,6.6636
ILMN_236,8.7946,8.575,8.3723,9.8514
ILMN_237,9.4115,6.1372,7.9132,9.6069
ILMN_238,9.5238,7.4781,7.5888,7.8426
ILMN_239,5.9418,5.5755,11.2892,7.3603
ILMN_240,8.3414,6.6546,10.7456,11.6553
ILMN_241,7.7108,9.1795,6.6407,11.6807
ILMN_242,10.0023,6.4708,10.6463,8.8705
ILMN_243,8.9774,8.8645,6.8115,7.0719
ILMN_244,9.3924,8.047,6.2484,12.2067
ILMN_245,7.7238,7.0232,6.7456,9.5209
ILMN_246,10.0893,8.6308,9.8769,5.1397
ILMN_247,7.3937,7.1953,8.1454,9.1106
ILMN_248,4.0531,14.3825,6.3947,8.8172
ILMN_249,9.7813,9.8265,8.6031,2.2979
ILMN_250,5.9412,9.6301,6.2655,5.9932
ILMN_251,3.3901,10.5331,9.1131,6.3021
ILMN_252,7.8181,7.8779,5.8417,7.5218
ILMN_253,8.5745,9.1675,10.5913,8.1141
ILMN_254,7.1285,8.8559,6.7891,5.5432
ILMN_255,10.3316,7.2807,8.2838,9.3402
ILMN_256,5.825,9.3221,8.94,7.8426
ILMN_257,8.8277,6.5248,3.6267,7.4712
ILMN_258,6.2148,9.774,8.5657,6.9768
ILMN_259,8.1312,10.7422,10.3061,8.7738
ILMN_260,8.8971,7.4792,7.7743,9.2133
ILMN_261,7.7956,8.6323,5.8022,4.6954
ILMN_262,4.6346,7.1575,10.6886,10.3992
ILMN_263,6.0371,4.9184,9.6178,8.958
ILMN_264,5.2935,10.1471,8.3805,10.6789
ILMN_265,8.7159,9.8119,8.6737,6.1247
ILMN_266,7.5642,6.674,9.6905,6.0365
ILMN_267,4.9611,9.3936,10.3219,10.9198
ILMN_268,10.2136,5.011,6.6325,6.929
ILMN_269,7.98,3.7161,8.0049,8.5776
ILMN_270,6.1219,8.2593,10.4061,8.1151
ILMN_271,10.1368,10.0509,8.8433,8.7899
ILMN_272,7.2791,10.5049,7.0805,6.6279
ILMN_273,9.4346,6.5705,8.8747,10.1373
ILMN_274,8.1847,8.235,9.8614,9.5326
ILMN_275,4.9451,5.4047,10.6899,8.8082
ILMN_276,3.8656,5.3317,8.0802,6.0708
ILMN_277,8.9704,8.1904,9.0158,5.6987
ILMN_278,9.2787,11.9567,6.4483,10.6676
ILMN_279,10.0042,9.33,7.9108,5.7189
ILMN_280,6.2877,9.5723,10.0032,10.4913
ILMN_281,9.967,9.853,7.1775,5.6312
ILMN_282,8.4555,9.0481,8.2194,5.0072
ILMN_283,7.0075,5.0939,8.34,5.9483
ILMN_284,7.715,8.6945,8.3242,10.7872
ILMN_285,5.8406,3.6839,9.9418,10.857
ILMN_286,10.9176,8.6237,9.1336,8.3013
ILMN_287,5.4667,6.9153,9.0515,6.9045
ILMN_288,11.8745,4.978,7.1924,10.2811
ILMN_289,6.8454,5.7961,5.3426,6.6076
ILMN_290,11.0819,8.8801,9.0957,7.0245
ILMN_291,9.7521,8.2777,6.2223,7.1601
ILMN_292,8.4702,10.4069,7.9494,9.0661
ILMN_293,12.1057,6.4693,5.5857,10.0339
ILMN_294,8.9443,7.8716,8.5964,7.4095
ILMN_295,9.1008,7.3975,9.6693,5.7285
ILMN_296,6.4367,8.3031,7.1309,9.4622
ILMN_297,7.987,6.9873,8.4919,7.0171
ILMN_298,4.9583,5.8021,6.4718,7.1358
ILMN_299,8.2722,9.9,9.1827,11.6412
