"","CJI1.A.CD1.ET1.1","CJI2.B.CD1.ET2.1","CJI3.I.K5PP3W.ET1.1","CJI4.J.K5PP3W.ET2.1","CJI5.K.K5PP3W.Rap1.1","CJI6.L.K5PP3W.Rap2.1"
"ENSMUSG00000000948",98,149,111,89,85,89
"ENSMUSG00000000957",3360,3171,4005,4196,4323,4741
"ENSMUSG00000000958",177,85,28,36,49,38
"ENSMUSG00000000959",1117,992,1144,971,1002,794
"ENSMUSG00000000976",808,665,949,943,827,734
"ENSMUSG00000000982",42,30,25,18,16,9
"ENSMUSG00000000983",0,2,949,978,13,8
"ENSMUSG00000001014",20,27,5,10,19,16
"ENSMUSG00000001016",804,779,1065,971,795,771
"ENSMUSG00000001017",2754,2792,2834,2953,2598,2586
"ENSMUSG00000001018",991,834,798,852,844,864
"ENSMUSG00000001020",8,7,83,40,6,14
"ENSMUSG00000001021",4,8,21,16,6,44
"ENSMUSG00000001025",2145,1526,4232,3951,2315,3462
"ENSMUSG00000001027",21,12,2,4,0,16
"ENSMUSG00000001029",49,34,11,16,25,18
"ENSMUSG00000001034",289,256,409,354,319,284
"ENSMUSG00000001036",1011,833,699,701,819,700
"ENSMUSG00000001039",81,76,122,106,94,82
"ENSMUSG00000001052",2824,2508,2764,2516,2728,2494
"ENSMUSG00000001053",243,293,182,167,234,182
"ENSMUSG00000001054",394,263,344,361,334,258
"ENSMUSG00000001056",365,475,814,554,389,309
"ENSMUSG00000001062",371,290,254,305,358,309
"ENSMUSG00000001065",393,307,311,366,309,239
"ENSMUSG00000001082",525,409,619,518,392,343
"ENSMUSG00000001089",5726,5505,4896,4828,6155,6260
"ENSMUSG00000001098",1049,1042,912,869,1062,894
"ENSMUSG00000001100",855,784,954,860,903,701
"ENSMUSG00000001105",778,851,648,745,741,782
"ENSMUSG00000001119",360,459,92,120,142,141
"ENSMUSG00000001120",106,71,177,99,51,76
"ENSMUSG00000001123",63,27,496,106,20,24
"ENSMUSG00000001127",1378,1262,1013,1404,1048,938
"ENSMUSG00000001128",62,49,36,31,28,40
"ENSMUSG00000001131",26,45,154,97,36,43
"ENSMUSG00000001134",140,147,157,197,160,171
"ENSMUSG00000001138",777,597,587,600,608,426
"ENSMUSG00000001143",520,558,486,659,604,444
"ENSMUSG00000001150",1422,1357,1367,1312,1329,1146
"ENSMUSG00000001151",3016,2545,1527,1573,2039,2496
"ENSMUSG00000001156",616,733,355,313,370,527
"ENSMUSG00000001157",610,594,779,847,787,697
"ENSMUSG00000001158",419,399,448,410,414,374
"ENSMUSG00000001166",114,94,85,73,53,63
"ENSMUSG00000001173",1114,1144,887,949,1125,1040
"ENSMUSG00000001175",6279,6857,8654,9136,7850,8203
"ENSMUSG00000001211",2409,2226,1303,1645,2251,1838
"ENSMUSG00000001225",57,91,6,8,30,19
"ENSMUSG00000001227",78,35,17,7,18,28
"ENSMUSG00000001228",118,396,1663,848,331,198
"ENSMUSG00000001229",733,650,843,901,815,575
"ENSMUSG00000001240",767,739,994,949,835,662
"ENSMUSG00000001247",2169,2109,2197,2588,1792,1611
"ENSMUSG00000001248",567,563,403,472,510,383
"ENSMUSG00000001249",145,131,78,114,88,64
"ENSMUSG00000001270",104,242,25,38,22,54
"ENSMUSG00000001280",6285,6020,4733,4436,5642,4919
"ENSMUSG00000001281",64,40,24,20,32,59
"ENSMUSG00000001285",323,233,361,314,283,245
"ENSMUSG00000001288",2457,1989,2021,1883,2460,2529
"ENSMUSG00000001289",1438,1310,1226,1263,1635,1766
"ENSMUSG00000001300",1917,2852,5024,5113,3444,3875
"ENSMUSG00000001305",248,248,456,310,215,191
"ENSMUSG00000001313",237,201,325,329,295,262
"ENSMUSG00000001323",1081,1152,1092,908,933,827
"ENSMUSG00000001333",97,99,54,71,71,59
"ENSMUSG00000001334",24,43,65,35,6,8
"ENSMUSG00000001348",520,620,1014,928,823,605
"ENSMUSG00000001349",27,21,14,24,14,14
"ENSMUSG00000001366",752,668,577,704,668,557
"ENSMUSG00000001376",584,630,933,804,750,662
"ENSMUSG00000001380",688,732,1194,904,638,605
"ENSMUSG00000001383",940,1055,1004,937,915,829
"ENSMUSG00000001403",21,59,564,438,139,85
"ENSMUSG00000001415",996,965,1490,1287,1286,1122
"ENSMUSG00000001416",1934,2087,4174,3347,2677,2223
"ENSMUSG00000001418",1066,1076,1223,1406,1127,1022
"ENSMUSG00000001419",2037,1873,1392,1570,1749,1970
"ENSMUSG00000001420",292,254,448,390,368,291
"ENSMUSG00000001424",2854,3554,3472,3000,2297,2138
"ENSMUSG00000001435",14686,14554,8089,9938,17076,16649
"ENSMUSG00000001436",279,155,294,244,179,205
"ENSMUSG00000001440",4831,5701,8630,6556,6121,5717
"ENSMUSG00000001441",1503,1522,2128,2032,1967,1634
"ENSMUSG00000001445",729,597,677,640,597,460
"ENSMUSG00000001467",725,1070,1536,1019,424,634
"ENSMUSG00000001472",4215,3804,3285,3582,3474,3544
"ENSMUSG00000001473",451,773,868,679,491,627
"ENSMUSG00000001482",622,514,427,428,438,484
"ENSMUSG00000001497",343,362,238,320,287,262
"ENSMUSG00000001504",1693,1415,656,901,1063,871
"ENSMUSG00000001506",885,1029,354,390,147,301
"ENSMUSG00000001507",12532,9954,11689,9972,11842,10667
"ENSMUSG00000001517",51,87,547,410,244,171
"ENSMUSG00000001518",492,387,283,272,231,237
"ENSMUSG00000001520",133,83,76,83,95,85
"ENSMUSG00000001521",1216,1159,988,942,859,886
"ENSMUSG00000001524",117,94,146,166,131,73
"ENSMUSG00000001525",3576,4340,14852,9849,6995,5435
"ENSMUSG00000001542",1291,1905,2051,1928,1609,2266
"ENSMUSG00000001552",5238,4928,7823,7338,4793,4725
"ENSMUSG00000001555",325,313,118,169,278,252
"ENSMUSG00000001558",15,15,7,10,7,8
"ENSMUSG00000001569",793,673,950,815,702,710
"ENSMUSG00000001576",2320,2395,3016,3167,2567,2240
"ENSMUSG00000001583",919,944,479,642,580,639
"ENSMUSG00000001604",76,94,54,57,50,47
"ENSMUSG00000001627",12300,17985,11480,19950,13195,25744
"ENSMUSG00000001630",507,475,905,844,728,676
"ENSMUSG00000001632",1224,1099,1232,1089,1140,1200
"ENSMUSG00000001642",1392,1542,687,746,689,679
"ENSMUSG00000001663",284,126,158,157,166,175
"ENSMUSG00000001665",674,520,888,934,543,445
"ENSMUSG00000001666",230,239,277,263,181,157
"ENSMUSG00000001672",360,323,314,373,263,201
"ENSMUSG00000001674",690,635,1031,831,731,564
"ENSMUSG00000001687",2121,1732,1205,1430,2062,2231
"ENSMUSG00000001700",367,497,431,361,392,332
"ENSMUSG00000001707",126,188,466,284,192,140
"ENSMUSG00000001729",2399,2087,3409,3222,3084,2659
"ENSMUSG00000001741",386,200,50,88,91,178
"ENSMUSG00000001750",865,554,1361,1416,939,886
"ENSMUSG00000001751",315,277,294,363,262,224
"ENSMUSG00000001755",332,293,366,330,277,227
"ENSMUSG00000001761",2025,1958,3586,3791,3489,3201
"ENSMUSG00000001763",43,35,59,79,52,78
"ENSMUSG00000001767",1121,992,1305,1306,1167,1253
"ENSMUSG00000001768",3900,3832,4487,4712,5817,4337
"ENSMUSG00000001774",1038,985,1728,1677,1957,1108
"ENSMUSG00000001783",2247,2021,2648,2232,2344,2140
"ENSMUSG00000001785",639,620,873,696,588,434
"ENSMUSG00000001786",480,405,486,536,403,333
"ENSMUSG00000001794",4951,4596,6337,6307,5300,5051
"ENSMUSG00000001802",48,86,14,59,13,27
"ENSMUSG00000001815",304,298,197,186,340,320
"ENSMUSG00000001819",2365,2503,2573,2700,3129,2861
"ENSMUSG00000001823",32,44,96,150,106,91
"ENSMUSG00000001829",793,831,650,669,844,793
"ENSMUSG00000001833",3416,3484,4566,4472,4540,4349
"ENSMUSG00000001844",541,403,441,435,416,374
"ENSMUSG00000001847",5667,5583,7150,6542,6055,5416
"ENSMUSG00000001855",2015,1800,2320,1930,2077,1867
"ENSMUSG00000001864",29,38,117,101,39,21
"ENSMUSG00000001870",2190,1027,14784,11379,11581,7068
"ENSMUSG00000001891",1449,1965,1619,1826,1880,2048
"ENSMUSG00000001909",548,485,579,493,414,329
"ENSMUSG00000001910",1710,1674,2559,2237,1967,1665
"ENSMUSG00000001911",18085,17323,15457,16622,20240,22445
"ENSMUSG00000001918",2590,2224,1949,1880,1769,1765
"ENSMUSG00000001924",5099,5552,7374,7058,5790,5029
"ENSMUSG00000001930",454,205,103,65,134,86
"ENSMUSG00000001942",616,533,598,557,449,403
"ENSMUSG00000001946",246,160,72,116,122,91
"ENSMUSG00000001948",42,39,28,30,30,37
"ENSMUSG00000001962",707,676,838,962,823,711
"ENSMUSG00000001964",2011,2224,1414,1720,1919,2131
"ENSMUSG00000001983",128,95,203,169,182,101
"ENSMUSG00000001985",14,80,10,3,8,19
"ENSMUSG00000001986",496,713,573,635,947,774
"ENSMUSG00000001995",177,276,242,222,120,159
"ENSMUSG00000001998",524,533,617,565,637,678
"ENSMUSG00000001999",151,173,302,234,211,185
"ENSMUSG00000002006",158,104,148,145,136,131
"ENSMUSG00000002007",30,25,7,14,10,18
"ENSMUSG00000002010",1485,1348,1866,1696,1505,1463
"ENSMUSG00000002012",19,7,11,10,10,6
"ENSMUSG00000002014",1103,912,1023,971,693,602
"ENSMUSG00000002015",1444,1501,1515,1663,1608,1470
"ENSMUSG00000002017",774,816,1586,1214,1805,740
"ENSMUSG00000002020",441,206,2657,1098,212,136
"ENSMUSG00000002028",8254,7694,4439,4513,7083,6433
"ENSMUSG00000002031",855,785,754,763,684,637
"ENSMUSG00000002032",54,21,14,11,11,12
"ENSMUSG00000002043",254,180,268,272,164,146
"ENSMUSG00000002052",4828,5254,3772,3598,4116,3980
"ENSMUSG00000002055",18,73,421,283,131,62
"ENSMUSG00000002058",126,115,194,195,176,141
"ENSMUSG00000002059",464,369,520,456,432,386
"ENSMUSG00000002064",573,507,604,557,503,487
"ENSMUSG00000002068",12,48,199,77,36,47
"ENSMUSG00000002076",16,43,26,19,23,35
"ENSMUSG00000002083",37,43,59,51,32,40
"ENSMUSG00000002100",24,11,3,3,6,14
"ENSMUSG00000002102",1482,1247,2090,1777,1591,1439
"ENSMUSG00000002103",860,734,665,634,561,579
"ENSMUSG00000002105",451,413,327,370,429,386
"ENSMUSG00000002107",1254,1935,851,991,622,543
"ENSMUSG00000002108",36,38,19,22,37,27
"ENSMUSG00000002109",592,473,370,390,342,342
"ENSMUSG00000002111",10,7,11,15,7,6
"ENSMUSG00000002129",1757,1604,2580,2105,2060,1697
"ENSMUSG00000002147",1915,1544,1737,1734,1734,1573
"ENSMUSG00000002205",564,456,417,521,478,405
"ENSMUSG00000002210",498,419,476,455,513,484
"ENSMUSG00000002221",754,709,854,774,699,630
"ENSMUSG00000002222",4348,4377,2971,3281,4273,4006
"ENSMUSG00000002227",500,341,533,411,456,326
"ENSMUSG00000002228",15,13,5,15,10,11
"ENSMUSG00000002233",632,604,370,385,858,707
"ENSMUSG00000002249",1123,885,699,745,1053,858
"ENSMUSG00000002250",794,783,738,843,760,756
"ENSMUSG00000002257",489,358,565,567,555,471
"ENSMUSG00000002265",101,110,14,38,83,107
"ENSMUSG00000002274",25,32,40,28,28,22
"ENSMUSG00000002279",255,256,218,305,228,184
"ENSMUSG00000002280",316,243,299,272,298,216
"ENSMUSG00000002289",323,203,160,96,347,233
"ENSMUSG00000002297",226,298,494,353,311,319
"ENSMUSG00000002307",503,431,668,461,393,367
"ENSMUSG00000002308",215,172,207,216,204,159
"ENSMUSG00000002319",1249,1407,1833,1423,1180,1057
"ENSMUSG00000002320",1225,1161,1589,1517,1376,1191
"ENSMUSG00000002324",84,77,22,18,7,16
"ENSMUSG00000002325",690,388,1072,623,226,272
"ENSMUSG00000002326",419,366,468,484,441,373
"ENSMUSG00000002329",294,298,438,377,415,316
"ENSMUSG00000002332",595,585,510,573,612,602
"ENSMUSG00000002342",317,286,288,322,325,239
"ENSMUSG00000002343",93,87,184,134,133,73
"ENSMUSG00000002345",330,309,360,371,307,310
"ENSMUSG00000002346",207,223,348,325,742,265
"ENSMUSG00000002365",1177,1105,1042,1124,1285,1040
"ENSMUSG00000002372",1154,926,1103,1068,1049,920
"ENSMUSG00000002379",615,565,884,828,1015,814
"ENSMUSG00000002384",100,152,72,68,65,44
"ENSMUSG00000002393",506,446,566,614,607,470
"ENSMUSG00000002395",1390,1214,913,978,1363,1543
"ENSMUSG00000002396",694,576,603,659,668,573
"ENSMUSG00000002409",478,334,435,476,549,439
"ENSMUSG00000002413",3357,3190,2331,2492,2796,3071
"ENSMUSG00000002416",579,539,723,661,561,630
"ENSMUSG00000002428",1178,1478,1337,1461,1668,1432
"ENSMUSG00000002455",1347,1407,1189,1200,1170,1053
"ENSMUSG00000002458",178,142,330,370,273,223
"ENSMUSG00000002459",26,13,25,28,6,22
"ENSMUSG00000002475",54,50,10,27,19,24
"ENSMUSG00000002477",490,506,1101,869,644,524
"ENSMUSG00000002486",298,284,311,300,348,294
"ENSMUSG00000002489",1172,1237,877,565,707,772
"ENSMUSG00000002496",2428,2239,1921,2122,2059,1922
"ENSMUSG00000002504",388,275,259,387,277,229
"ENSMUSG00000002524",1912,1789,1917,2006,1698,1686
"ENSMUSG00000002546",1874,1784,1510,1656,1626,1467
"ENSMUSG00000002550",573,496,343,344,444,294
"ENSMUSG00000002565",759,650,198,203,376,425
"ENSMUSG00000002578",458,574,114,153,203,227
"ENSMUSG00000002580",222,234,220,171,192,166
"ENSMUSG00000002602",6187,7044,3904,3896,7334,5651
"ENSMUSG00000002603",1109,1176,1047,1004,1204,1086
"ENSMUSG00000002608",866,717,643,759,865,716
"ENSMUSG00000002617",257,206,167,162,174,166
"ENSMUSG00000002625",979,965,419,634,735,759
"ENSMUSG00000002633",2444,3611,610,1321,3286,2676
"ENSMUSG00000002635",161,126,162,162,111,117
"ENSMUSG00000002658",627,577,880,770,621,655
"ENSMUSG00000002660",332,291,392,324,284,217
"ENSMUSG00000002661",96,58,64,84,92,69
"ENSMUSG00000002668",52,54,5,14,17,25
"ENSMUSG00000002679",301,270,298,297,255,259
"ENSMUSG00000002688",47,55,17,15,23,41
"ENSMUSG00000002699",18,23,31,15,6,2
"ENSMUSG00000002718",2041,2269,3447,3060,2540,2234
"ENSMUSG00000002728",526,474,1010,704,551,531
"ENSMUSG00000002731",393,279,427,353,345,354
"ENSMUSG00000002732",35,57,35,51,42,59
"ENSMUSG00000002733",749,851,780,680,865,746
"ENSMUSG00000002741",1121,1105,1856,1753,1615,1457
"ENSMUSG00000002748",4012,4113,4291,4274,4597,3741
"ENSMUSG00000002763",709,672,598,618,659,524
"ENSMUSG00000002767",301,232,424,359,307,249
"ENSMUSG00000002768",281,232,362,353,313,297
"ENSMUSG00000002769",95,97,35,36,31,34
"ENSMUSG00000002771",153,108,32,47,73,53
"ENSMUSG00000002778",1651,1643,1671,1610,1559,1218
"ENSMUSG00000002781",189,150,161,151,153,105
"ENSMUSG00000002797",96,128,505,567,123,163
"ENSMUSG00000002799",11118,8964,5430,6465,9032,9042
"ENSMUSG00000002803",485,330,290,302,343,291
"ENSMUSG00000002804",237,215,305,251,289,220
"ENSMUSG00000002808",27,21,26,18,5,14
"ENSMUSG00000002812",2472,2131,2574,2290,2497,2092
"ENSMUSG00000002814",290,254,283,263,232,224
"ENSMUSG00000002820",649,553,640,538,594,422
"ENSMUSG00000002825",161,155,283,243,142,134
"ENSMUSG00000002831",260,253,64,97,79,108
"ENSMUSG00000002833",974,965,873,896,1041,1106
"ENSMUSG00000002835",172,226,617,363,264,220
"ENSMUSG00000002844",146,143,151,116,104,83
"ENSMUSG00000002845",736,788,725,844,632,589
"ENSMUSG00000002846",289,263,455,461,359,297
"ENSMUSG00000002847",56,52,5,4,14,16
"ENSMUSG00000002870",327,547,1626,979,655,389
"ENSMUSG00000002871",365,318,233,272,282,262
"ENSMUSG00000002881",1514,1588,2272,2100,1771,1925
"ENSMUSG00000002885",342,228,203,171,78,80
"ENSMUSG00000002897",558,590,417,408,448,460
"ENSMUSG00000002900",3364,2847,3352,2928,5733,4724
"ENSMUSG00000002908",23,38,20,16,15,14
"ENSMUSG00000002910",177,150,71,65,76,89
"ENSMUSG00000002944",191,142,22,42,48,16
"ENSMUSG00000002948",1063,1004,872,889,983,903
"ENSMUSG00000002949",583,508,750,581,484,423
"ENSMUSG00000002957",3593,3706,3077,3292,3707,3233
"ENSMUSG00000002963",321,243,342,277,373,307
"ENSMUSG00000002968",1101,1041,1056,996,904,806
"ENSMUSG00000002980",8582,6834,10202,11375,11417,10210
"ENSMUSG00000002981",2277,2063,2319,2257,2389,2131
"ENSMUSG00000002983",692,798,559,619,519,743
"ENSMUSG00000002984",399,369,854,563,333,301
"ENSMUSG00000002985",33973,35513,18488,27885,29261,37320
"ENSMUSG00000002996",3751,3755,3134,3700,3537,3862
"ENSMUSG00000002997",984,420,574,562,1110,817
"ENSMUSG00000003031",1962,1513,1328,1338,1729,1617
"ENSMUSG00000003032",4711,4406,3153,3631,4895,7777
"ENSMUSG00000003033",467,491,850,811,784,532
"ENSMUSG00000003037",1050,1046,1158,1212,1309,1064
"ENSMUSG00000003038",337,369,431,399,355,288
"ENSMUSG00000003039",1282,1189,1115,1038,1193,1067
"ENSMUSG00000003051",630,974,1204,827,459,452
"ENSMUSG00000003062",349,293,298,333,193,197
"ENSMUSG00000003068",1739,1565,1354,1420,1423,1319
"ENSMUSG00000003070",41,38,35,43,46,30
"ENSMUSG00000003072",1427,1313,1613,1508,1497,1185
"ENSMUSG00000003099",1269,1142,1715,1769,1820,1537
"ENSMUSG00000003119",2580,2930,2426,2377,2648,2712
"ENSMUSG00000003123",539,507,177,273,276,264
"ENSMUSG00000003131",2321,2048,2849,2671,2932,2422
"ENSMUSG00000003134",3945,3471,1253,1488,2184,2276
"ENSMUSG00000003135",1476,1111,826,900,1205,1034
"ENSMUSG00000003153",41,663,28,42,19,104
"ENSMUSG00000003154",1361,1250,973,1022,1460,1339
"ENSMUSG00000003161",1843,1827,1239,1337,1370,1340
"ENSMUSG00000003166",1849,1642,2247,2199,2030,1647
"ENSMUSG00000003184",813,640,582,734,654,519
"ENSMUSG00000003190",310,239,206,222,206,165
"ENSMUSG00000003198",177,192,155,171,135,175
"ENSMUSG00000003199",522,523,490,449,411,383
"ENSMUSG00000003200",903,817,896,900,863,694
"ENSMUSG00000003208",175,146,173,162,160,140
"ENSMUSG00000003226",9833,11315,8794,8204,9279,10184
"ENSMUSG00000003227",607,374,180,287,392,432
"ENSMUSG00000003228",201,177,111,137,209,232
"ENSMUSG00000003233",1213,962,1316,1375,1432,1163
"ENSMUSG00000003234",756,662,675,607,669,484
"ENSMUSG00000003235",967,954,1373,1214,1050,936
"ENSMUSG00000003269",887,805,788,883,761,848
"ENSMUSG00000003271",46,53,28,44,37,37
"ENSMUSG00000003273",27,30,5,8,21,6
"ENSMUSG00000003279",162,178,471,375,103,131
"ENSMUSG00000003282",71,114,9,27,61,64
"ENSMUSG00000003299",456,372,509,504,455,346
"ENSMUSG00000003308",722,580,861,759,787,650
"ENSMUSG00000003309",629,529,753,741,585,419
"ENSMUSG00000003316",7996,8263,8538,8596,7408,7638
"ENSMUSG00000003341",13,11,0,0,0,11
"ENSMUSG00000003344",950,845,740,758,851,625
"ENSMUSG00000003345",1693,1593,1743,1623,1652,1615
"ENSMUSG00000003346",410,363,443,457,390,297
"ENSMUSG00000003348",652,1120,410,497,450,665
"ENSMUSG00000003352",367,277,286,345,398,330
"ENSMUSG00000003355",179,160,42,46,58,34
"ENSMUSG00000003360",1788,1731,1737,1631,1617,1545
"ENSMUSG00000003363",1235,1184,1094,1273,1097,1013
"ENSMUSG00000003378",352,331,106,167,264,258
"ENSMUSG00000003380",978,701,458,493,693,534
"ENSMUSG00000003382",2732,2695,1559,1628,2673,2487
"ENSMUSG00000003402",1485,1489,1712,1856,1345,1343
"ENSMUSG00000003410",18,20,2,3,6,28
"ENSMUSG00000003411",15,6,16,10,4,2
"ENSMUSG00000003420",562,477,169,230,401,389
"ENSMUSG00000003421",601,520,529,487,564,528
"ENSMUSG00000003423",350,323,456,410,413,359
"ENSMUSG00000003429",3051,2962,4393,3682,3764,4066
"ENSMUSG00000003435",2463,2566,2487,2448,2158,2162
"ENSMUSG00000003437",1057,911,938,879,870,890
"ENSMUSG00000003438",246,216,473,375,260,191
"ENSMUSG00000003444",249,178,264,208,207,149
"ENSMUSG00000003452",1604,1955,3927,3407,3710,2797
"ENSMUSG00000003458",2953,2498,3886,4715,3100,3275
"ENSMUSG00000003464",837,798,909,971,924,891
"ENSMUSG00000003469",76,73,722,600,1161,418
"ENSMUSG00000003477",7292,5522,701,1916,2840,2580
"ENSMUSG00000003500",194,240,441,354,217,232
"ENSMUSG00000003518",695,653,332,455,452,374
