gene_id,gene_name,GO_term,15_count,s29_count,BB7_count,s7_count,15_FPKM,s29_FPKM,BB7_FPKM,s7_FPKM
GENE37,GENE37,GO:0008150,994.0,1748.0,185.0,1324.0,17.797,19.07,10.446,3.259
GENE38,GENE38,GO:0008150,1066.0,263.0,1691.0,1690.0,6.666,22.213,18.286,24.329
GENE39,GENE39,GO:0008150,965.0,1889.0,1213.0,1807.0,5.866,11.348,17.697,24.134
GENE40,GENE40,GO:0008150,1921.0,1139.0,561.0,290.0,26.361,21.748,4.626,16.863
GENE41,GENE41,GO:0008150,1125.0,384.0,1500.0,1855.0,5.935,20.953,21.197,4.132
GENE42,GENE42,GO:0008150,490.0,1104.0,98.0,361.0,13.629,11.625,2.401,16.257
GENE43,GENE43,GO:0008150,754.0,1768.0,1939.0,1283.0,22.509,0.794,29.092,18.886
GENE44,GENE44,GO:0008150,1166.0,1139.0,121.0,752.0,21.219,28.887,6.071,12.849
GENE45,GENE45,GO:0008150,1966.0,821.0,426.0,478.0,16.604,21.408,7.606,25.916
GENE46,GENE46,GO:0008150,1426.0,76.0,1938.0,1752.0,24.211,6.142,6.009,11.701
GENE47,GENE47,GO:0008150,1135.0,935.0,1522.0,1095.0,13.974,21.924,29.745,15.327
GENE48,GENE48,GO:0008150,954.0,644.0,893.0,1502.0,18.612,8.361,8.598,3.424
GENE49,GENE49,GO:0008150,110.0,50.0,1440.0,744.0,24.567,14.079,18.159,16.907
GENE50,GENE50,GO:0008150,1607.0,60.0,1814.0,245.0,20.343,25.797,29.719,22.993
GENE51,GENE51,GO:0008150,831.0,1934.0,217.0,1315.0,19.255,13.442,28.502,21.938
GENE52,GENE52,GO:0008150,1455.0,856.0,158.0,1047.0,12.184,8.64,1.27,7.709
GENE53,GENE53,GO:0008150,866.0,1745.0,1364.0,688.0,16.75,9.165,15.636,29.756
GENE54,GENE54,GO:0008150,116.0,1180.0,559.0,1367.0,11.882,2.311,18.039,21.598
GENE55,GENE55,GO:0008150,1727.0,710.0,1806.0,1038.0,22.329,6.585,21.072,12.713
GENE56,GENE56,GO:0008150,1061.0,1530.0,1578.0,1818.0,11.413,8.133,10.077,12.447
GENE57,GENE57,GO:0008150,1998.0,302.0,825.0,1866.0,13.999,5.189,9.837,23.38
GENE58,GENE58,GO:0008150,615.0,10.0,1152.0,1505.0,22.664,1.892,0.129,5.27
GENE59,GENE59,GO:0008150,1486.0,1621.0,1287.0,273.0,15.11,13.974,1.057,19.189
GENE60,GENE60,GO:0008150,1694.0,837.0,1694.0,1630.0,10.141,6.432,16.502,21.565
GENE61,GENE61,GO:0008150,1940.0,28.0,1732.0,1256.0,24.805,22.163,2.277,15.49
GENE62,GENE62,GO:0008150,970.0,1586.0,1904.0,1026.0,11.429,27.676,6.074,26.196
GENE63,GENE63,GO:0008150,174.0,1451.0,461.0,452.0,25.342,8.19,9.998,14.059
GENE64,GENE64,GO:0008150,385.0,397.0,1819.0,726.0,23.557,17.167,2.114,13.947
GENE65,GENE65,GO:0008150,212.0,358.0,789.0,692.0,13.419,15.202,0.926,8.54
GENE66,GENE66,GO:0008150,620.0,1896.0,1733.0,1146.0,21.387,2.253,27.808,27.581
GENE67,GENE67,GO:0008150,1972.0,680.0,275.0,543.0,1.032,3.746,13.056,9.488
GENE68,GENE68,GO:0008150,178.0,1904.0,437.0,888.0,11.694,26.543,6.147,20.858
GENE69,GENE69,GO:0008150,404.0,1960.0,316.0,1031.0,25.81,14.225,21.254,12.281
GENE70,GENE70,GO:0008150,1901.0,1042.0,1797.0,1793.0,17.386,24.138,0.283,28.063
GENE71,GENE71,GO:0008150,1535.0,1485.0,1153.0,1161.0,16.735,1.997,7.351,28.439
GENE72,GENE72,GO:0008150,1662.0,853.0,1891.0,1756.0,19.942,17.844,28.822,0.901
GENE73,GENE73,GO:0008150,748.0,823.0,1428.0,1845.0,20.33,25.959,26.931,29.836
GENE74,GENE74,GO:0008150,193.0,137.0,496.0,859.0,17.508,26.012,19.078,18.148
GENE75,GENE75,GO:0008150,325.0,1039.0,1082.0,1901.0,12.619,0.172,2.796,2.216
GENE76,GENE76,GO:0008150,1491.0,501.0,1572.0,1612.0,5.505,15.652,9.542,14.911
GENE77,GENE77,GO:0008150,1359.0,1352.0,620.0,1434.0,8.779,11.07,0.838,1.484
GENE78,GENE78,GO:0008150,269.0,1259.0,1842.0,1943.0,8.788,22.801,6.576,16.467
GENE79,GENE79,GO:0008150,596.0,665.0,1237.0,796.0,12.922,2.197,0.763,5.564
GENE80,GENE80,GO:0008150,1462.0,405.0,337.0,101.0,29.972,7.948,3.785,11.038
GENE81,GENE81,GO:0008150,938.0,425.0,599.0,1830.0,10.577,24.379,18.996,9.141
GENE82,GENE82,GO:0008150,1628.0,1680.0,1186.0,224.0,13.421,14.087,3.013,18.066
GENE83,GENE83,GO:0008150,1493.0,1207.0,1817.0,958.0,11.149,13.595,4.673,24.671
GENE84,GENE84,GO:0008150,346.0,1189.0,912.0,1318.0,17.443,29.057,27.084,28.096
GENE85,GENE85,GO:0008150,751.0,613.0,250.0,1922.0,28.437,9.597,10.064,9.866
GENE86,GENE86,GO:0008150,1510.0,931.0,468.0,1256.0,26.672,1.252,9.99,17.091
GENE87,GENE87,GO:0008150,824.0,1270.0,180.0,367.0,11.314,11.766,2.596,0.177
GENE88,GENE88,GO:0008150,1469.0,123.0,1355.0,823.0,8.007,4.601,23.878,11.165
GENE89,GENE89,GO:0008150,6.0,1528.0,1399.0,1630.0,26.532,2.457,20.291,28.821
GENE90,GENE90,GO:0008150,1790.0,1459.0,1682.0,226.0,14.815,17.036,16.414,3.565
GENE91,GENE91,GO:0008150,1836.0,1826.0,1388.0,1604.0,20.566,28.607,18.537,26.095
GENE92,GENE92,GO:0008150,1482.0,1755.0,1778.0,1046.0,2.199,17.382,3.011,19.575
GENE93,GENE93,GO:0008150,1632.0,1831.0,594.0,93.0,25.997,19.413,7.809,8.817
GENE94,GENE94,GO:0008150,340.0,60.0,869.0,40.0,9.389,9.709,17.509,23.345
GENE95,GENE95,GO:0008150,517.0,505.0,1413.0,497.0,14.836,17.134,28.567,8.678
GENE96,GENE96,GO:0008150,1899.0,375.0,1943.0,1134.0,5.941,22.567,24.514,26.844
GENE97,GENE97,GO:0008150,487.0,77.0,611.0,1180.0,12.607,17.679,19.222,2.483
GENE98,GENE98,GO:0008150,218.0,332.0,229.0,1355.0,24.841,24.083,15.565,3.57
GENE99,GENE99,GO:0008150,176.0,42.0,911.0,621.0,24.827,16.514,0.454,22.5
GENE100,GENE100,GO:0008150,1140.0,1876.0,1715.0,1076.0,14.21,5.944,26.721,13.475
GENE101,GENE101,GO:0008150,1285.0,1623.0,874.0,1316.0,23.037,17.482,2.006,4.424
GENE102,GENE102,GO:0008150,432.0,1221.0,473.0,382.0,13.742,14.728,3.872,15.403
GENE103,GENE103,GO:0008150,1522.0,1148.0,753.0,79.0,11.201,4.978,20.792,8.909
GENE104,GENE104,GO:0008150,473.0,1603.0,936.0,1920.0,16.377,18.575,24.364,16.479
GENE105,GENE105,GO:0008150,1801.0,1708.0,31.0,101.0,6.04,24.509,23.597,22.311
GENE106,GENE106,GO:0008150,1157.0,677.0,1683.0,636.0,9.497,4.053,13.572,25.705
GENE107,GENE107,GO:0008150,306.0,225.0,602.0,1253.0,21.196,16.348,5.312,1.77
GENE108,GENE108,GO:0008150,252.0,1594.0,605.0,627.0,23.115,22.011,1.059,17.771
GENE109,GENE109,GO:0008150,1325.0,1725.0,871.0,1594.0,1.701,12.091,25.541,29.51
GENE110,GENE110,GO:0008150,609.0,258.0,1657.0,1533.0,21.985,8.101,29.331,13.794
GENE111,GENE111,GO:0008150,1501.0,1765.0,996.0,394.0,24.523,11.168,7.324,23.087
GENE112,GENE112,GO:0008150,1170.0,1147.0,772.0,1277.0,13.356,16.251,25.982,2.918
GENE113,GENE113,GO:0008150,526.0,1218.0,1587.0,192.0,1.874,20.6,12.076,26.205
GENE114,GENE114,GO:0008150,907.0,1322.0,102.0,1263.0,20.487,16.775,9.34,17.462
GENE115,GENE115,GO:0008150,1825.0,1647.0,1370.0,1607.0,7.385,3.211,15.155,26.648
GENE116,GENE116,GO:0008150,723.0,654.0,167.0,1444.0,19.301,24.537,0.245,23.614
GENE117,GENE117,GO:0008150,628.0,1734.0,931.0,1785.0,11.299,27.716,13.281,26.077
GENE118,GENE118,GO:0008150,276.0,323.0,693.0,53.0,19.115,3.039,5.987,1.719
GENE119,GENE119,GO:0008150,983.0,1301.0,1323.0,429.0,7.744,7.486,21.374,21.466
GENE120,GENE120,GO:0008150,328.0,1127.0,1266.0,1889.0,14.296,5.21,15.077,5.909
GENE121,GENE121,GO:0008150,1791.0,758.0,323.0,505.0,15.74,25.475,26.066,7.974
GENE122,GENE122,GO:0008150,1763.0,913.0,1985.0,1314.0,18.93,27.308,26.899,9.743
GENE123,GENE123,GO:0008150,1190.0,202.0,1181.0,761.0,6.095,1.328,9.503,17.739
GENE124,GENE124,GO:0008150,1687.0,267.0,383.0,1324.0,28.862,9.973,8.412,18.836
GENE125,GENE125,GO:0008150,1360.0,1661.0,1049.0,753.0,8.674,5.775,28.174,27.943
GENE126,GENE126,GO:0008150,611.0,743.0,1325.0,1079.0,9.181,14.086,15.12,0.382
GENE127,GENE127,GO:0008150,591.0,430.0,1421.0,494.0,7.689,27.648,2.895,5.803
GENE128,GENE128,GO:0008150,417.0,659.0,1707.0,914.0,2.024,2.105,1.377,10.86
GENE129,GENE129,GO:0008150,1189.0,163.0,689.0,1505.0,12.688,5.138,29.713,24.54
GENE130,GENE130,GO:0008150,1545.0,1158.0,1752.0,599.0,23.155,14.611,17.375,16.497
GENE131,GENE131,GO:0008150,328.0,155.0,399.0,1526.0,21.287,15.721,1.635,15.36
GENE132,GENE132,GO:0008150,1807.0,262.0,1003.0,266.0,5.867,22.365,15.338,22.806
GENE133,GENE133,GO:0008150,1689.0,261.0,1281.0,162.0,4.108,13.131,15.123,19.652
GENE134,GENE134,GO:0008150,1476.0,1812.0,1463.0,538.0,9.643,4.234,13.062,8.696
GENE135,GENE135,GO:0008150,1683.0,612.0,1507.0,1665.0,23.048,10.608,28.538,2.613
GENE136,GENE136,GO:0008150,970.0,1239.0,1710.0,374.0,14.642,29.463,28.463,13.869
GENE137,GENE137,GO:0008150,39.0,869.0,362.0,1767.0,27.696,22.522,3.749,26.405
GENE138,GENE138,GO:0008150,1733.0,750.0,617.0,1421.0,19.692,3.49,4.552,17.944
GENE139,GENE139,GO:0008150,906.0,193.0,1325.0,1454.0,18.627,24.246,12.225,1.599
GENE140,GENE140,GO:0008150,140.0,1552.0,1067.0,1651.0,23.031,9.328,25.021,13.202
GENE141,GENE141,GO:0008150,1700.0,1348.0,666.0,741.0,22.508,23.442,18.713,11.538
GENE142,GENE142,GO:0008150,1448.0,128.0,462.0,1037.0,10.315,0.382,21.895,17.473
GENE143,GENE143,GO:0008150,1885.0,1514.0,1631.0,381.0,7.71,26.138,17.282,17.614
GENE144,GENE144,GO:0008150,560.0,532.0,1499.0,1072.0,13.129,4.869,6.302,28.54
GENE145,GENE145,GO:0008150,422.0,1496.0,1276.0,1793.0,14.677,13.673,24.533,10.143
GENE146,GENE146,GO:0008150,1117.0,251.0,1777.0,368.0,4.252,19.853,0.421,12.243
GENE147,GENE147,GO:0008150,109.0,1599.0,901.0,1289.0,13.24,15.236,20.955,18.405
GENE148,GENE148,GO:0008150,259.0,1441.0,810.0,1993.0,19.195,4.962,5.83,26.592
GENE149,GENE149,GO:0008150,1271.0,1878.0,1585.0,1686.0,4.071,4.174,14.133,21.184
GENE150,GENE150,GO:0008150,175.0,1554.0,1206.0,790.0,4.141,8.536,29.254,14.127
GENE151,GENE151,GO:0008150,624.0,1282.0,395.0,368.0,5.212,1.572,16.171,24.437
GENE152,GENE152,GO:0008150,1748.0,1518.0,1181.0,1515.0,8.5,6.496,1.708,14.559
GENE153,GENE153,GO:0008150,644.0,1442.0,411.0,889.0,28.851,3.903,12.863,28.906
GENE154,GENE154,GO:0008150,294.0,756.0,680.0,839.0,0.774,13.944,19.808,8.475
GENE155,GENE155,GO:0008150,952.0,66.0,684.0,1688.0,5.512,10.695,1.701,3.822
GENE156,GENE156,GO:0008150,866.0,1084.0,205.0,775.0,4.951,17.605,7.58,24.912
GENE157,GENE157,GO:0008150,1939.0,1096.0,40.0,1443.0,14.23,8.426,0.55,8.919
GENE158,GENE158,GO:0008150,1539.0,762.0,63.0,1661.0,0.452,1.017,16.202,25.422
GENE159,GENE159,GO:0008150,504.0,1838.0,726.0,774.0,13.745,9.933,11.444,18.282
GENE160,GENE160,GO:0008150,1586.0,275.0,59.0,1520.0,4.888,22.655,15.111,15.269
GENE161,GENE161,GO:0008150,1851.0,1985.0,257.0,295.0,8.089,7.675,8.875,2.611
GENE162,GENE162,GO:0008150,677.0,1425.0,1824.0,1650.0,23.773,12.136,19.704,23.589
GENE163,GENE163,GO:0008150,748.0,1841.0,512.0,246.0,5.522,22.649,5.193,1.978
GENE164,GENE164,GO:0008150,869.0,183.0,1357.0,1975.0,18.514,12.2,27.2,28.955
GENE165,GENE165,GO:0008150,214.0,233.0,357.0,353.0,12.189,26.614,28.802,26.309
GENE166,GENE166,GO:0008150,1069.0,1149.0,1901.0,892.0,12.528,27.542,14.79,9.089
GENE167,GENE167,GO:0008150,1853.0,1500.0,1709.0,381.0,24.505,9.316,13.962,3.836
GENE168,GENE168,GO:0008150,908.0,1828.0,1502.0,434.0,4.827,22.079,25.789,26.57
GENE169,GENE169,GO:0008150,1691.0,1538.0,292.0,135.0,27.714,7.594,8.695,14.396
GENE170,GENE170,GO:0008150,517.0,946.0,307.0,65.0,26.805,4.186,24.093,3.746
GENE171,GENE171,GO:0008150,220.0,627.0,779.0,624.0,20.05,13.136,8.619,14.956
GENE172,GENE172,GO:0008150,894.0,1439.0,495.0,910.0,1.483,18.074,21.599,7.405
GENE173,GENE173,GO:0008150,1457.0,113.0,1879.0,1990.0,19.899,28.068,10.02,12.235
GENE174,GENE174,GO:0008150,580.0,1777.0,505.0,1832.0,18.01,4.377,18.078,19.207
GENE175,GENE175,GO:0008150,1320.0,493.0,123.0,788.0,23.166,21.371,27.776,27.461
GENE176,GENE176,GO:0008150,1488.0,454.0,1029.0,249.0,6.415,14.264,1.63,24.028
GENE177,GENE177,GO:0008150,849.0,66.0,1972.0,1006.0,28.601,3.951,24.218,4.83
GENE178,GENE178,GO:0008150,1684.0,246.0,335.0,352.0,26.586,29.18,16.255,14.32
GENE179,GENE179,GO:0008150,1137.0,1720.0,1214.0,968.0,3.431,20.873,11.372,14.758
GENE180,GENE180,GO:0008150,1884.0,367.0,329.0,1339.0,9.456,3.866,10.508,29.684
GENE181,GENE181,GO:0008150,1708.0,531.0,521.0,1053.0,0.973,27.173,2.082,2.607
GENE182,GENE182,GO:0008150,1556.0,565.0,1648.0,1032.0,24.928,3.093,7.751,15.323
GENE183,GENE183,GO:0008150,1410.0,1257.0,961.0,1072.0,27.453,2.78,18.694,27.431
GENE184,GENE184,GO:0008150,1989.0,791.0,1889.0,1581.0,29.694,9.947,2.928,11.965
GENE185,GENE185,GO:0008150,364.0,1746.0,766.0,358.0,18.358,28.139,20.082,7.852
GENE186,GENE186,GO:0008150,505.0,272.0,678.0,226.0,19.98,0.991,28.868,16.678
GENE187,GENE187,GO:0008150,1088.0,1959.0,1928.0,1883.0,20.352,27.546,29.423,9.603
GENE188,GENE188,GO:0008150,487.0,461.0,1356.0,1939.0,17.104,18.348,26.677,27.812
GENE189,GENE189,GO:0008150,1652.0,415.0,1472.0,1012.0,28.573,2.012,24.198,2.544
GENE190,GENE190,GO:0008150,884.0,994.0,1090.0,1829.0,18.236,17.058,5.339,6.201
GENE191,GENE191,GO:0008150,1584.0,81.0,1525.0,630.0,10.072,13.764,29.105,2.516
GENE192,GENE192,GO:0008150,675.0,1199.0,1968.0,132.0,15.386,16.92,6.082,21.357
GENE193,GENE193,GO:0008150,1027.0,473.0,1827.0,930.0,0.56,22.116,26.071,8.794
GENE194,GENE194,GO:0008150,1710.0,1761.0,200.0,1521.0,21.724,20.359,26.336,27.005
GENE195,GENE195,GO:0008150,1580.0,1657.0,1975.0,1522.0,20.818,29.917,18.657,26.809
GENE196,GENE196,GO:0008150,1667.0,1415.0,590.0,1699.0,12.632,4.7,15.639,28.092
GENE197,GENE197,GO:0008150,1400.0,1362.0,1946.0,1471.0,25.544,24.386,6.013,7.684
GENE198,GENE198,GO:0008150,677.0,603.0,655.0,335.0,22.666,12.333,15.584,0.02
GENE199,GENE199,GO:0008150,162.0,1513.0,1566.0,331.0,10.101,23.499,8.719,11.628
GENE200,GENE200,GO:0008150,788.0,1838.0,1674.0,1193.0,2.325,26.753,3.776,28.877
ACTB,ACTB,GO:0008150,1942.0,658.0,1688.0,1873.0,3.967,29.76,3.846,22.912
ACTB,ACTB,GO:0008150,1185.0,310.0,587.0,1028.0,5.528,7.981,24.035,1.79
